target_id	length	eff_length	est_counts	tpm
TRINITY_DN35227_c0_g1_i1_len=1541	1541	1388.98	10.0421	0.458399
TRINITY_DN35734_c0_g1_i1_len=544	544	392.136	3	0.485062
TRINITY_DN35951_c0_g1_i1_len=2200	2200	2047.98	17	0.526303
TRINITY_DN36160_c0_g2_i1_len=835	835	683.017	36.1063	3.35169
TRINITY_DN36540_c0_g1_i2_len=2091	2091	1938.98	22	0.719386
TRINITY_DN36768_c0_g2_i1_len=542	542	390.179	1	0.162498
TRINITY_DN36868_c0_g1_i1_len=541	541	389.179	13	2.1179
TRINITY_DN36929_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN36929_c0_g1_i2_len=541	541	389.179	1	0.162916
TRINITY_DN37200_c0_g1_i1_len=878	878	725.978	15	1.31003
TRINITY_DN37289_c0_g1_i1_len=873	873	720.978	15	1.31911
TRINITY_DN37671_c0_g1_i1_len=1542	1542	1389.98	8	0.364917
TRINITY_DN37877_c0_g1_i2_len=878	878	725.978	4	0.349341
TRINITY_DN3813_c0_g1_i1_len=541	541	389.179	6.257	1.01936
TRINITY_DN38504_c0_g1_i1_len=873	873	720.978	12	1.05529
TRINITY_DN38873_c0_g1_i1_len=543	543	391.136	1	0.162101
TRINITY_DN38970_c0_g1_i2_len=1187	1187	1034.98	9.53543	0.584146
TRINITY_DN39678_c0_g1_i1_len=601	601	449.047	3.63552	0.513319
TRINITY_DN40699_c1_g1_i1_len=542	542	390.179	2	0.324996
TRINITY_DN41233_c0_g1_i2_len=2535	2535	2382.98	25.1628	0.6695
TRINITY_DN41705_c0_g2_i1_len=1209	1209	1056.98	10	0.599855
TRINITY_DN42141_c0_g1_i1_len=542	542	390.179	1	0.162498
TRINITY_DN42179_c0_g1_i2_len=542	542	390.179	1.08255	0.175913
TRINITY_DN42433_c0_g1_i1_len=1873	1873	1720.98	23	0.847354
TRINITY_DN42489_c1_g1_i1_len=1545	1545	1392.98	13	0.591713
TRINITY_DN42492_c0_g5_i1_len=782	782	630.017	8	0.805101
TRINITY_DN42671_c0_g1_i1_len=542	542	390.179	2	0.324996
TRINITY_DN42686_c0_g1_i1_len=1455	1455	1302.98	14	0.681245
TRINITY_DN43187_c1_g1_i3_len=2919	2919	2766.98	31	0.710343
TRINITY_DN43649_c0_g1_i3_len=1205	1205	1052.98	11	0.662347
TRINITY_DN43853_c0_g2_i3_len=544	544	392.136	13.0575	2.11122
TRINITY_DN44394_c0_g1_i1_len=3528	3528	3375.98	29.4831	0.553715
TRINITY_DN45071_c0_g1_i2_len=875	875	722.978	7	0.613883
TRINITY_DN45118_c0_g2_i2_len=1204	1204	1051.98	10	0.602706
TRINITY_DN45177_c0_g1_i1_len=1355	1355	1202.98	28.6494	1.50998
TRINITY_DN45198_c0_g1_i1_len=1208	1208	1055.98	10.1276	0.608087
TRINITY_DN45492_c0_g2_i2_len=1521	1521	1368.98	16.4177	0.760374
TRINITY_DN45858_c0_g2_i1_len=542	542	390.179	1	0.162498
TRINITY_DN46281_c0_g4_i1_len=544	544	392.136	3	0.485062
TRINITY_DN46516_c0_g2_i1_len=2041	2041	1888.98	27.4439	0.921151
TRINITY_DN46565_c0_g1_i1_len=1868	1868	1715.98	30	1.10846
TRINITY_DN46635_c0_g2_i1_len=3520	3520	3367.98	20	0.376507
TRINITY_DN46800_c0_g1_i3_len=1789	1789	1636.98	24.5036	0.949072
TRINITY_DN46809_c2_g4_i1_len=544	544	392.136	8	1.2935
TRINITY_DN46924_c0_g1_i1_len=1203	1203	1050.98	8.1863	0.493863
TRINITY_DN47103_c1_g1_i2_len=1446	1446	1293.98	21.9093	1.07353
TRINITY_DN47320_c0_g1_i6_len=836	836	684.017	2.32418	0.215435
TRINITY_DN47417_c0_g3_i1_len=543	543	391.136	3	0.486302
TRINITY_DN47730_c0_g3_i1_len=453	453	301.744	4	0.840492
TRINITY_DN47928_c0_g1_i2_len=2543	2543	2390.98	28	0.742497
TRINITY_DN48183_c0_g1_i1_len=1412	1412	1259.98	14	0.704494
TRINITY_DN48393_c1_g1_i2_len=2394	2394	2241.98	17	0.480762
TRINITY_DN48529_c0_g2_i3_len=1259	1259	1106.98	15.9903	0.915861
TRINITY_DN48636_c1_g1_i1_len=878	878	725.978	10	0.873351
TRINITY_DN48800_c0_g1_i6_len=1948	1948	1795.98	23	0.811968
TRINITY_DN49043_c4_g1_i4_len=931	931	778.978	4.27227	0.347733
TRINITY_DN49077_c0_g1_i4_len=1124	1124	971.978	7	0.456619
TRINITY_DN49155_c0_g1_i9_len=2479	2479	2326.98	15	0.408706
TRINITY_DN49156_c0_g2_i1_len=1537	1537	1384.98	23	1.05292
TRINITY_DN49303_c0_g1_i1_len=1534	1534	1381.98	14	0.642302
TRINITY_DN49527_c0_g1_i3_len=1536	1536	1383.98	13	0.595561
TRINITY_DN49622_c5_g3_i3_len=1058	1058	905.978	8.04242	0.562836
TRINITY_DN50023_c0_g2_i1_len=873	873	720.978	17.3248	1.52356
TRINITY_DN50071_c4_g1_i1_len=876	876	723.978	6	0.525458
TRINITY_DN50096_c3_g4_i6_len=4185	4185	4032.98	28	0.440194
TRINITY_DN50222_c2_g1_i4_len=4114	4114	3961.98	31.5657	0.505145
TRINITY_DN50409_c2_g2_i2_len=1875	1875	1722.98	13.3594	0.491607
TRINITY_DN50637_c0_g1_i5_len=1645	1645	1492.98	16.3556	0.694583
TRINITY_DN50657_c2_g2_i3_len=544	544	392.136	18.454	2.98378
TRINITY_DN50682_c0_g1_i5_len=643	643	491.047	3.21807	0.415513
TRINITY_DN50759_c2_g1_i1_len=1543	1543	1390.98	19	0.866055
TRINITY_DN50847_c4_g1_i2_len=1310	1310	1157.98	0	0
TRINITY_DN50929_c4_g1_i1_len=406	406	255.49	7	1.73715
TRINITY_DN50970_c0_g1_i3_len=2731	2731	2578.98	28	0.688371
TRINITY_DN50987_c0_g2_i1_len=2631	2631	2478.98	29	0.741716
TRINITY_DN51023_c0_g1_i1_len=873	873	720.978	3.04255	0.267564
TRINITY_DN51057_c2_g2_i8_len=2819	2819	2666.98	36.4917	0.867535
TRINITY_DN51099_c6_g1_i1_len=872	872	719.978	15	1.32094
TRINITY_DN51186_c7_g1_i3_len=544	544	392.136	1	0.161687
TRINITY_DN51217_c1_g1_i1_len=3013	3013	2860.98	37	0.819973
TRINITY_DN51218_c1_g1_i10_len=2198	2198	2045.98	20.1992	0.625959
TRINITY_DN51252_c11_g5_i2_len=877	877	724.978	10	0.874556
TRINITY_DN51287_c6_g2_i2_len=543	543	391.136	3.12452	0.506487
TRINITY_DN51515_c0_g1_i3_len=3044	3044	2891.98	35	0.767336
TRINITY_DN51623_c2_g2_i1_len=568	568	416.07	16.6205	2.53273
TRINITY_DN51661_c7_g11_i1_len=544	544	392.136	5.51764	0.892131
TRINITY_DN51696_c1_g1_i1_len=2537	2537	2384.98	18	0.47852
TRINITY_DN51781_c0_g1_i2_len=1775	1775	1622.98	19.392	0.757569
TRINITY_DN51844_c0_g3_i2_len=803	803	651.017	11.6831	1.13783
TRINITY_DN51929_c0_g1_i5_len=1825	1825	1672.98	16.3644	0.620188
TRINITY_DN51947_c5_g1_i9_len=768	768	616.017	2.69703	0.277591
TRINITY_DN51949_c3_g1_i7_len=818	818	666.017	1.68218	0.16014
TRINITY_DN51962_c0_g4_i1_len=1452	1452	1299.98	8	0.390181
TRINITY_DN52057_c5_g4_i1_len=542	542	390.179	1.74489	0.283542
TRINITY_DN52219_c0_g1_i13_len=4402	4402	4249.98	61.1103	0.911675
TRINITY_DN52229_c0_g1_i12_len=542	542	390.179	3	0.487494
TRINITY_DN52305_c0_g3_i19_len=1411	1411	1258.98	11.7852	0.593517
TRINITY_DN52324_c1_g2_i1_len=685	685	533.047	5.56338	0.661738
TRINITY_DN52347_c1_g9_i3_len=542	542	390.179	8.67659	1.40993
TRINITY_DN52364_c0_g2_i1_len=1060	1060	907.978	10	0.698292
TRINITY_DN52388_c8_g1_i10_len=2079	2079	1926.98	7.8489	0.258252
TRINITY_DN52399_c5_g4_i1_len=542	542	390.179	9.45413	1.53628
TRINITY_DN52430_c0_g4_i1_len=876	876	723.978	2	0.175153
TRINITY_DN52660_c0_g1_i11_len=1596	1596	1443.98	6.34661	0.278672
TRINITY_DN52815_c0_g1_i3_len=1864	1864	1711.98	15	0.555527
TRINITY_DN52919_c1_g22_i3_len=542	542	390.179	9.53049	1.54869
TRINITY_DN53021_c3_g1_i2_len=594	594	442.047	3	0.430294
TRINITY_DN53133_c4_g1_i1_len=1204	1204	1051.98	13	0.783518
TRINITY_DN53239_c0_g3_i3_len=1390	1390	1237.98	22	1.12674
TRINITY_DN53480_c0_g2_i4_len=2865	2865	2712.98	27	0.631001
TRINITY_DN53482_c2_g1_i2_len=3524	3524	3371.98	43	0.80853
TRINITY_DN53495_c2_g4_i1_len=2194	2194	2041.98	21	0.65205
TRINITY_DN53508_c3_g1_i4_len=2047	2047	1894.98	38.7826	1.29761
TRINITY_DN53535_c0_g1_i3_len=1864	1864	1711.98	15	0.555527
TRINITY_DN53563_c5_g1_i16_len=3979	3979	3826.98	69.4903	1.15128
TRINITY_DN53569_c6_g4_i11_len=1274	1274	1121.98	9.20819	0.520358
TRINITY_DN53602_c0_g1_i1_len=544	544	392.136	5	0.808436
TRINITY_DN53658_c1_g2_i1_len=541	541	389.179	1	0.162916
TRINITY_DN53677_c1_g1_i6_len=2216	2216	2063.98	35.4937	1.09033
TRINITY_DN53701_c1_g1_i5_len=1244	1244	1091.98	21.9412	1.27397
TRINITY_DN53758_c8_g1_i1_len=543	543	391.136	3	0.486302
TRINITY_DN53759_c3_g1_i2_len=543	543	391.136	9	1.45891
TRINITY_DN53778_c1_g2_i11_len=543	543	391.136	4	0.648402
TRINITY_DN53809_c5_g15_i3_len=544	544	392.136	2.23482	0.361341
TRINITY_DN53869_c2_g1_i3_len=2209	2209	2056.98	23	0.708942
TRINITY_DN53908_c3_g6_i4_len=899	899	746.978	9	0.763919
TRINITY_DN53955_c0_g3_i4_len=756	756	604.017	1.92225	0.201778
TRINITY_DN53969_c2_g10_i1_len=544	544	392.136	2.33333	0.37727
TRINITY_DN53969_c2_g11_i1_len=544	544	392.136	2.33333	0.37727
TRINITY_DN53969_c2_g8_i1_len=544	544	392.136	2.33333	0.37727
TRINITY_DN53981_c0_g1_i2_len=873	873	720.978	3	0.263822
TRINITY_DN54000_c3_g6_i1_len=543	543	391.136	7	1.1347
TRINITY_DN54067_c6_g2_i1_len=686	686	534.047	6.43342	0.763791
TRINITY_DN54067_c6_g3_i1_len=686	686	534.047	0	0
TRINITY_DN54092_c0_g1_i2_len=2648	2648	2495.98	34.3845	0.873443
TRINITY_DN54095_c3_g2_i5_len=1972	1972	1819.98	21.3777	0.744745
TRINITY_DN54111_c6_g2_i2_len=1872	1872	1719.98	45	1.65883
TRINITY_DN54139_c0_g1_i5_len=2495	2495	2342.98	70.6448	1.91172
TRINITY_DN54196_c8_g16_i7_len=878	878	725.978	9	0.786016
TRINITY_DN54291_c0_g2_i2_len=1794	1794	1641.98	32	1.23565
TRINITY_DN54379_c1_g1_i1_len=541	541	389.179	5	0.814578
TRINITY_DN54380_c4_g3_i1_len=1457	1457	1304.98	14	0.680201
TRINITY_DN54389_c2_g2_i5_len=937	937	784.978	19.2577	1.55546
TRINITY_DN54414_c2_g10_i21_len=1455	1455	1302.98	14.961	0.728007
TRINITY_DN54430_c0_g1_i3_len=1200	1200	1047.98	31	1.87552
TRINITY_DN54434_c5_g11_i2_len=543	543	391.136	4	0.648402
TRINITY_DN54501_c1_g2_i1_len=1534	1534	1381.98	14	0.642302
TRINITY_DN54606_c0_g1_i2_len=2522	2522	2369.98	50.8511	1.3604
TRINITY_DN54652_c1_g2_i1_len=873	873	720.978	8	0.703526
TRINITY_DN54756_c6_g1_i9_len=3212	3212	3059.98	27.9029	0.578155
TRINITY_DN54763_c1_g1_i1_len=1623	1623	1470.98	11.1023	0.478539
TRINITY_DN54844_c1_g2_i2_len=872	872	719.978	8	0.704504
TRINITY_DN54872_c9_g1_i1_len=543	543	391.136	3	0.486302
TRINITY_DN54887_c0_g1_i1_len=541	541	389.179	1	0.162916
TRINITY_DN54963_c0_g1_i1_len=1206	1206	1053.98	30.9631	1.86263
TRINITY_DN54983_c2_g3_i3_len=1292	1292	1139.98	18.278	1.01659
TRINITY_DN55051_c1_g2_i1_len=873	873	720.978	26	2.28646
TRINITY_DN55189_c2_g2_i3_len=544	544	392.136	6.80981	1.10106
TRINITY_DN55243_c5_g1_i2_len=2858	2858	2705.98	25.6989	0.602147
TRINITY_DN55417_c1_g1_i1_len=2525	2525	2372.98	16.7954	0.448754
TRINITY_DN55456_c0_g1_i12_len=2782	2782	2629.98	31.5576	0.760789
TRINITY_DN55456_c1_g2_i4_len=2338	2338	2185.98	39	1.13118
TRINITY_DN55493_c1_g2_i6_len=543	543	391.136	1	0.162101
TRINITY_DN55523_c7_g1_i3_len=1517	1517	1364.98	14.2651	0.662615
TRINITY_DN55526_c1_g4_i1_len=345	345	196.676	6.2579	2.01739
TRINITY_DN55551_c1_g1_i6_len=4901	4901	4748.98	39.0892	0.521877
TRINITY_DN55576_c8_g1_i1_len=875	875	722.978	11	0.964673
TRINITY_DN55705_c2_g4_i1_len=544	544	392.136	1.08673	0.17571
TRINITY_DN55747_c2_g1_i11_len=618	618	466.047	3.35218	0.456048
TRINITY_DN55788_c0_g1_i3_len=3554	3554	3401.98	49.5475	0.923427
TRINITY_DN55796_c2_g1_i1_len=542	542	390.179	9.31625	1.51387
TRINITY_DN55823_c0_g1_i2_len=544	544	392.136	4	0.646749
TRINITY_DN55924_c0_g4_i1_len=1207	1207	1054.98	5	0.300496
TRINITY_DN55966_c3_g18_i5_len=2062	2062	1909.98	27.8587	0.924795
TRINITY_DN56031_c6_g2_i5_len=1399	1399	1246.98	18.535	0.942425
TRINITY_DN56110_c0_g2_i5_len=541	541	389.179	7.24218	1.17986
TRINITY_DN56180_c1_g1_i1_len=541	541	389.179	3	0.488747
TRINITY_DN56240_c7_g1_i2_len=2101	2101	1948.98	82.2989	2.67731
TRINITY_DN56297_c1_g3_i2_len=872	872	719.978	15	1.32094
TRINITY_DN56327_c3_g15_i1_len=544	544	392.136	6	0.970123
TRINITY_DN56336_c0_g1_i7_len=1227	1227	1074.98	3.56272	0.210133
TRINITY_DN56338_c2_g1_i2_len=2407	2407	2254.98	53	1.4902
TRINITY_DN56339_c0_g2_i4_len=6921	6921	6768.98	84	0.786808
TRINITY_DN56444_c1_g3_i6_len=667	667	515.047	7.29659	0.898225
TRINITY_DN56494_c2_g7_i4_len=627	627	475.047	5.22178	0.696939
TRINITY_DN56537_c1_g1_i5_len=4717	4717	4564.98	86.0738	1.19549
TRINITY_DN56608_c2_g2_i1_len=2678	2678	2525.98	37	0.928719
TRINITY_DN56655_c2_g1_i10_len=1188	1188	1035.98	7.47548	0.45751
TRINITY_DN56663_c4_g4_i2_len=544	544	392.136	3	0.485062
TRINITY_DN56665_c4_g5_i4_len=543	543	391.136	6	0.972603
TRINITY_DN56718_c7_g4_i1_len=542	542	390.179	2	0.324996
TRINITY_DN56772_c4_g3_i7_len=887	887	734.978	4.6679	0.402679
TRINITY_DN56782_c28_g1_i1_len=875	875	722.978	7	0.613883
TRINITY_DN56887_c1_g2_i2_len=2961	2961	2808.98	95.4826	2.1552
TRINITY_DN56903_c8_g5_i1_len=543	543	391.136	2.10457	0.341152
TRINITY_DN58980_c0_g1_i1_len=543	543	391.136	1.29711	0.210262
TRINITY_DN60198_c0_g1_i1_len=544	544	392.136	4	0.646749
TRINITY_DN61474_c0_g1_i1_len=873	873	720.978	3	0.263822
TRINITY_DN75940_c0_g1_i1_len=542	542	390.179	3.54211	0.575585
TRINITY_DN79623_c0_g1_i1_len=544	544	392.136	1	0.161687
TRINITY_DN80300_c0_g1_i1_len=544	544	392.136	1	0.161687
TRINITY_DN82032_c0_g1_i1_len=541	541	389.179	3.00824	0.49009
TRINITY_DN83582_c0_g1_i1_len=541	541	389.179	9	1.46624
TRINITY_DN86_c0_g2_i1_len=542	542	390.179	1	0.162498
TRINITY_DN92282_c0_g1_i1_len=544	544	392.136	1	0.161687
TRINITY_DN9351_c0_g1_i1_len=543	543	391.136	3.21175	0.520626
TRINITY_DN99172_c0_g1_i1_len=543	543	391.136	1.0013	0.162311
TRINITY_DN106484_c0_g1_i1_len=871	871	718.978	2	0.176371
TRINITY_DN108044_c0_g1_i1_len=539	539	387.222	1	0.163739
TRINITY_DN110411_c0_g1_i1_len=538	538	386.244	1	0.164154
TRINITY_DN111419_c0_g1_i1_len=540	540	388.179	2	0.326671
TRINITY_DN128563_c0_g1_i1_len=540	540	388.179	1	0.163335
TRINITY_DN140538_c0_g1_i1_len=540	540	388.179	1	0.163335
TRINITY_DN142209_c0_g1_i1_len=540	540	388.179	1	0.163335
TRINITY_DN145113_c0_g1_i1_len=538	538	386.244	2.00951	0.32987
TRINITY_DN15553_c0_g1_i1_len=871	871	718.978	2	0.176371
TRINITY_DN15724_c0_g1_i1_len=866	866	713.978	6	0.532818
TRINITY_DN16465_c0_g1_i1_len=540	540	388.179	1	0.163335
TRINITY_DN17855_c0_g1_i1_len=538	538	386.244	1	0.164154
TRINITY_DN179_c0_g1_i1_len=540	540	388.179	1	0.163335
TRINITY_DN20079_c0_g1_i1_len=539	539	387.222	4	0.654956
TRINITY_DN21214_c0_g1_i1_len=1522	1522	1369.98	7	0.323964
TRINITY_DN21730_c0_g1_i1_len=539	539	387.222	2	0.327478
TRINITY_DN21758_c0_g1_i1_len=538	538	386.244	1	0.164154
TRINITY_DN22363_c0_g1_i1_len=870	870	717.978	8	0.706466
TRINITY_DN22589_c0_g1_i1_len=538	538	386.244	1	0.164154
TRINITY_DN23328_c0_g2_i1_len=867	867	714.978	2	0.177358
TRINITY_DN23513_c0_g1_i1_len=871	871	718.978	3	0.264556
TRINITY_DN24932_c0_g2_i1_len=540	540	388.179	3	0.490006
TRINITY_DN28491_c0_g1_i1_len=539	539	387.222	2	0.327478
TRINITY_DN28529_c0_g1_i1_len=870	870	717.978	6	0.52985
TRINITY_DN28675_c0_g1_i1_len=1523	1523	1370.98	17.6425	0.815909
TRINITY_DN31218_c1_g1_i1_len=540	540	388.179	1	0.163335
TRINITY_DN32054_c0_g1_i1_len=865	865	712.978	6	0.533565
TRINITY_DN32727_c0_g1_i1_len=594	594	442.047	7.73748	1.1098
TRINITY_DN32790_c0_g2_i1_len=725	725	573.017	9	0.995835
TRINITY_DN33082_c0_g1_i1_len=866	866	713.978	2	0.177606
TRINITY_DN33340_c1_g1_i1_len=871	871	718.978	9.00358	0.793985
TRINITY_DN33898_c2_g1_i1_len=871	871	718.978	6	0.529113
TRINITY_DN33923_c0_g1_i1_len=373	373	223.381	1	0.283835
TRINITY_DN33923_c0_g2_i1_len=373	373	223.381	1	0.283835
TRINITY_DN34474_c0_g1_i1_len=1195	1195	1042.98	8	0.486326
TRINITY_DN35043_c0_g1_i1_len=869	869	716.978	6	0.530589
TRINITY_DN35134_c0_g1_i1_len=539	539	387.222	7	1.14617
TRINITY_DN35136_c0_g1_i1_len=869	869	716.978	5	0.442157
TRINITY_DN35538_c0_g2_i1_len=623	623	471.047	4.11078	0.553315
TRINITY_DN35709_c0_g1_i1_len=538	538	386.244	4.06094	0.666618
TRINITY_DN36085_c0_g1_i2_len=540	540	388.179	4	0.653341
TRINITY_DN36663_c1_g1_i1_len=540	540	388.179	2	0.326671
TRINITY_DN36767_c0_g1_i1_len=539	539	387.222	2	0.327478
TRINITY_DN37228_c0_g3_i1_len=1529	1529	1376.98	8.03979	0.370194
TRINITY_DN37776_c0_g1_i1_len=1528	1528	1375.98	17	0.783339
TRINITY_DN37874_c0_g2_i1_len=538	538	386.244	3.21282	0.527397
TRINITY_DN3830_c0_g1_i1_len=538	538	386.244	4	0.656615
TRINITY_DN38347_c0_g1_i4_len=538	538	386.244	1	0.164154
TRINITY_DN39483_c0_g2_i1_len=538	538	386.244	4	0.656615
TRINITY_DN40362_c0_g1_i2_len=866	866	713.978	3	0.266409
TRINITY_DN40785_c0_g1_i1_len=1528	1528	1375.98	13	0.599024
TRINITY_DN40981_c0_g1_i1_len=1530	1530	1377.98	12.136	0.558401
TRINITY_DN41328_c0_g1_i2_len=867	867	714.978	15	1.33018
TRINITY_DN41346_c0_g2_i3_len=1997	1997	1844.98	7.23375	0.24859
TRINITY_DN41844_c0_g2_i2_len=1948	1948	1795.98	18.6084	0.656932
TRINITY_DN42187_c0_g2_i1_len=871	871	718.978	13.4797	1.18872
TRINITY_DN42440_c0_g1_i2_len=1171	1171	1018.98	0	0
TRINITY_DN42492_c0_g2_i1_len=540	540	388.179	7	1.14335
TRINITY_DN42983_c0_g3_i1_len=539	539	387.222	4	0.654956
TRINITY_DN43260_c0_g2_i3_len=539	539	387.222	1.29791	0.212519
TRINITY_DN43849_c0_g1_i1_len=1522	1522	1369.98	9	0.416525
TRINITY_DN43867_c0_g1_i1_len=1011	1011	858.978	12.4132	0.91625
TRINITY_DN44074_c1_g1_i2_len=2633	2633	2480.98	30	0.766674
TRINITY_DN44219_c0_g4_i1_len=539	539	387.222	8	1.30991
TRINITY_DN44509_c0_g1_i1_len=1194	1194	1041.98	9.51749	0.57913
TRINITY_DN45099_c0_g1_i2_len=540	540	388.179	5	0.816676
TRINITY_DN45383_c0_g1_i4_len=845	845	693.017	10.529	0.963288
TRINITY_DN45568_c2_g2_i1_len=2174	2174	2021.98	11.0418	0.34624
TRINITY_DN45595_c0_g1_i1_len=4472	4472	4319.98	28	0.41095
TRINITY_DN45676_c1_g4_i1_len=871	871	718.978	17	1.49915
TRINITY_DN45809_c0_g3_i3_len=865	865	712.978	6.03436	0.536621
TRINITY_DN45924_c1_g2_i1_len=869	869	716.978	9	0.795883
TRINITY_DN46190_c1_g1_i2_len=3487	3487	3334.98	35	0.665407
TRINITY_DN46327_c0_g2_i1_len=1200	1200	1047.98	18	1.08901
TRINITY_DN46955_c1_g1_i1_len=540	540	388.179	12	1.96002
TRINITY_DN47425_c0_g1_i2_len=2833	2833	2680.98	13	0.307441
TRINITY_DN47471_c0_g1_i1_len=1855	1855	1702.98	15.0105	0.558856
TRINITY_DN47472_c0_g2_i1_len=540	540	388.179	5	0.816676
TRINITY_DN47494_c1_g1_i1_len=3512	3512	3359.98	25	0.471754
TRINITY_DN47761_c1_g1_i1_len=871	871	718.978	23.9437	2.11149
TRINITY_DN47852_c0_g1_i1_len=1861	1861	1708.98	16	0.593603
TRINITY_DN47912_c0_g1_i1_len=1163	1163	1010.98	3.05741	0.191745
TRINITY_DN47912_c1_g1_i1_len=831	831	679.017	7.88647	0.736401
TRINITY_DN47981_c0_g2_i2_len=3183	3183	3030.98	26	0.54388
TRINITY_DN48042_c0_g1_i5_len=2542	2542	2389.98	11.1448	0.29566
TRINITY_DN48143_c0_g1_i1_len=2158	2158	2005.98	25	0.79018
TRINITY_DN48168_c0_g1_i1_len=3182	3182	3029.98	27	0.564985
TRINITY_DN48259_c2_g14_i4_len=1231	1231	1078.98	10.0117	0.588309
TRINITY_DN48366_c0_g1_i1_len=2185	2185	2032.98	11	0.343062
TRINITY_DN48389_c0_g1_i3_len=1606	1606	1453.98	10.5115	0.458372
TRINITY_DN48469_c0_g1_i3_len=868	868	715.978	4	0.35422
TRINITY_DN48537_c0_g1_i1_len=1530	1530	1377.98	7	0.322083
