term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006006,"glucose metabolic process",0.741%,null,null,5.567,-1.1740,0.898,0.486,52695,1
GO:0002790,"peptide secretion",0.010%, 4.456, 4.835,3.711,-1.0235,0.878,0.330,2790,0
GO:0042572,"retinol metabolic process",0.001%,-3.344,-5.245,2.604,-6.0590,0.747,0.334,42572,0
GO:0042574,"retinal metabolic process",0.001%,null,null,2.544,-1.4206,0.862,0.908,42572,1
GO:0006694,"steroid biosynthetic process",0.030%,null,null,4.178,-2.9709,0.832,0.881,42572,1
GO:0006695,"cholesterol biosynthetic process",0.002%,null,null,3.063,-5.5302,0.824,0.887,42572,1
GO:0070327,"thyroid hormone transport",0.000%,null,null,1.875,-1.5236,0.823,0.644,42572,1
GO:0033488,"cholesterol biosynthetic process via 24,25-dihydrolanosterol",0.000%,null,null,0.699,-1.3138,0.859,0.693,42572,1
GO:0008203,"cholesterol metabolic process",0.007%,null,null,3.519,-5.6271,0.828,0.479,42572,1
GO:0008206,"bile acid metabolic process",0.001%,null,null,2.865,-3.6819,0.816,0.753,42572,1
GO:0006071,"glycerol metabolic process",0.254%,null,null,5.102,-1.0293,0.838,0.656,42572,1
GO:0007596,"blood coagulation",0.015%,-6.220,-2.017,3.868,-2.7882,0.664,0.342,7596,0
GO:0050892,"intestinal absorption",0.001%,null,null,2.745,-1.0577,0.849,0.479,7596,1
GO:0042060,"wound healing",0.025%,null,null,4.087,-1.0009,0.824,0.793,7596,1
GO:0002526,"acute inflammatory response",0.073%,null,null,4.563,-1.3307,0.793,0.807,7596,1
GO:0044268,"multicellular organismal protein metabolic process",0.000%,null,null,1.987,-1.1431,0.846,0.441,7596,1
GO:0060136,"embryonic process involved in female pregnancy",0.000%,null,null,2.332,-1.9633,0.853,0.625,7596,1
GO:0007275,"multicellular organismal development",0.460%,null,null,5.360,-1.8843,0.826,0.682,7596,1
GO:0003407,"neural retina development",0.003%,null,null,3.223,-1.2030,0.856,0.535,7596,1
GO:0050728,"negative regulation of inflammatory response",0.005%,null,null,3.393,-2.2638,0.661,0.725,7596,1
GO:0030097,"hemopoiesis",0.047%,null,null,4.369,-1.2782,0.745,0.742,7596,1
GO:0090107,"regulation of high-density lipoprotein particle assembly",0.000%,null,null,1.580,-2.6544,0.776,0.422,7596,1
GO:0048702,"embryonic neurocranium morphogenesis",0.000%,null,null,2.340,-2.4022,0.864,0.458,7596,1
GO:0006508,"proteolysis",3.705%,-4.782, 5.294,6.266,-2.3267,0.912,0.347,6508,0
GO:0010951,"negative regulation of endopeptidase activity",0.083%,-5.827, 3.375,4.616,-2.0949,0.740,0.353,10951,0
GO:0006357,"regulation of transcription from RNA polymerase II promoter",0.211%,null,null,5.022,-1.7842,0.787,0.560,10951,1
GO:1902807,"negative regulation of cell cycle G1/S phase transition",0.004%,null,null,3.288,-1.2196,0.790,0.536,10951,1
GO:0050746,"regulation of lipoprotein metabolic process",0.001%,null,null,2.413,-1.1431,0.846,0.488,10951,1
GO:1902904,"negative regulation of fibril organization",0.000%,null,null,1.613,-1.2196,0.800,0.437,10951,1
GO:0008285,"negative regulation of cell proliferation",0.034%,null,null,4.232,-1.5479,0.784,0.613,10951,1
GO:0007050,"cell cycle arrest",0.011%,null,null,3.749,-1.1677,0.781,0.876,10951,1
GO:0032088,"negative regulation of NF-kappaB transcription factor activity",0.004%,null,null,3.284,-1.4592,0.772,0.641,10951,1
GO:0006990,"positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response",0.000%,null,null,1.690,-1.0235,0.652,0.603,10951,1
GO:0016480,"negative regulation of transcription from RNA polymerase III promoter",0.002%,null,null,2.883,-2.0323,0.784,0.539,10951,1
GO:0042157,"lipoprotein metabolic process",0.098%,-4.716, 5.888,4.687,-1.4536,0.928,0.359,42157,0
GO:0006641,"triglyceride metabolic process",0.005%,-1.951,-7.121,3.379,-2.5187,0.847,0.364,6641,0
GO:0046327,"glycerol biosynthetic process from pyruvate",0.000%,null,null,1.623,-1.3138,0.825,0.819,6641,1
GO:0006656,"phosphatidylcholine biosynthetic process",0.002%,null,null,3.072,-1.7748,0.799,0.536,6641,1
GO:0036155,"acylglycerol acyl-chain remodeling",0.000%,null,null,0.778,-1.1431,0.879,0.753,6641,1
GO:0070217,"transcription factor TFIIIB complex assembly",0.000%, 5.321, 1.053,0.301,-1.4361,0.945,0.368,70217,0
GO:0008202,"steroid metabolic process",0.040%,-2.073,-6.782,4.304,-1.5619,0.855,0.386,8202,0
